year,semi_final,semi_draw_position,final_draw_position,country,style,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2022,2,10,-,Ireland,Pop,,,,,,,15.0,35.0,12.0,47.0
2022,2,11,-,North Macedonia,Ballad,,,,,,,11.0,20.0,56.0,76.0
2022,2,12,25,Estonia,Pop,98.0,43.0,19.0,8.0,13.0,141.0,5.0,96.0,113.0,209.0
2022,2,13,2,Romania,Pop,53.0,12.0,12.0,3.0,18.0,65.0,9.0,100.0,18.0,118.0
2022,2,14,23,Poland,Ballad,105.0,46.0,22.0,9.0,12.0,151.0,6.0,114.0,84.0,198.0
2022,2,15,-,Montenegro,Ballad,,,,,,,17.0,22.0,11.0,33.0
2022,2,16,16,Belgium,Pop,5.0,59.0,2.0,13.0,19.0,64.0,8.0,46.0,105.0,151.0
2022,2,17,20,Sweden,Ballad,180.0,258.0,33.0,33.0,4.0,438.0,1.0,174.0,222.0,396.0
2022,2,18,1,Czech Republic,Dance,5.0,33.0,1.0,11.0,22.0,38.0,4.0,125.0,102.0,227.0
2022,-,-,9,Italy,Ballad,110.0,158.0,23.0,26.0,6.0,268.0,,,,
2022,-,-,10,Spain,Pop,228.0,231.0,38.0,34.0,3.0,459.0,,,,
2022,-,-,13,Germany,Ballad,6.0,0.0,3.0,0.0,25.0,6.0,,,,
2022,-,-,22,United Kingdom,Pop,183.0,283.0,34.0,35.0,2.0,466.0,,,,
2022,-,-,6,France,Traditional,8.0,9.0,6.0,3.0,24.0,17.0,,,,
2021,1,1,18,Lithuania,Dance,165.0,55.0,27.0,12.0,8.0,220.0,4.0,137.0,66.0,203.0
2021,1,2,-,Slovenia,Ballad,,,,,,,13.0,8.0,36.0,44.0
2021,1,3,5,Russia,Traditional,100.0,104.0,22.0,21.0,9.0,204.0,3.0,108.0,117.0,225.0
2021,1,4,25,Sweden,Pop,63.0,46.0,18.0,10.0,14.0,109.0,7.0,51.0,91.0,142.0
2021,1,5,-,Australia,Pop,,,,,,,14.0,2.0,26.0,28.0
2021,1,6,-,North Macedonia,Ballad,,,,,,,15.0,11.0,12.0,23.0
2021,1,7,-,Ireland,Pop,,,,,,,16.0,4.0,16.0,20.0
2021,1,8,1,Cyprus,Pop,44.0,50.0,7.0,11.0,16.0,94.0,6.0,78.0,92.0,170.0
2021,1,9,22,Norway,Pop,60.0,15.0,16.0,5.0,18.0,75.0,10.0,77.0,38.0,115.0
2021,1,10,-,Croatia,Pop,,,,,,,11.0,53.0,57.0,110.0
2021,1,11,4,Belgium,Ballad,3.0,71.0,2.0,17.0,19.0,74.0,9.0,47.0,70.0,117.0
2021,1,12,3,Israel,Pop,20.0,73.0,4.0,17.0,17.0,93.0,5.0,93.0,99.0,192.0
2021,1,13,-,Romania,Ballad,,,,,,,12.0,27.0,58.0,85.0
2021,1,14,21,Azerbaijan,Pop,33.0,32.0,12.0,9.0,20.0,65.0,8.0,91.0,47.0,138.0
2021,1,15,19,Ukraine,Traditional,267.0,97.0,38.0,19.0,5.0,364.0,2.0,164.0,103.0,267.0
2021,1,16,6,Malta,Pop,47.0,208.0,15.0,35.0,7.0,255.0,1.0,151.0,174.0,325.0
2021,2,1,-,San Marino,Dance,13.0,37.0,3.0,7.0,,,9.0,42.0,76.0,118.0
2021,2,2,-,Estonia,Ballad,,,,,,,13.0,29.0,29.0,58.0
2021,2,3,-,Czech Republic,Ballad,,,,,,,15.0,0.0,23.0,23.0
2021,2,4,10,Greece,Pop,79.0,91.0,11.0,15.0,10.0,170.0,6.0,80.0,104.0,184.0
2021,2,5,-,Austria,Ballad,,,,,,,12.0,13.0,53.0,66.0
2021,2,6,-,Poland,Pop,,,,,,,14.0,17.0,18.0,35.0
2021,2,7,14,Moldova,Pop,62.0,53.0,11.0,6.0,13.0,115.0,7.0,123.0,56.0,179.0
2021,2,8,-,Iceland,Pop,180.0,198.0,29.0,28.0,,,2.0,148.0,140.0,288.0
2021,2,9,8,Serbia,Pop,82.0,20.0,12.0,3.0,15.0,102.0,8.0,68.0,56.0,124.0
2021,2,10,-,Georgia,Ballad,,,,,,,16.0,15.0,1.0,16.0
2021,2,11,2,Albania,Ballad,35.0,22.0,5.0,4.0,21.0,57.0,10.0,38.0,74.0,112.0
2021,2,12,7,Portugal,Traditional,27.0,126.0,6.0,22.0,12.0,153.0,4.0,111.0,128.0,239.0
2021,2,13,17,Bulgaria,Ballad,30.0,140.0,5.0,26.0,11.0,170.0,3.0,101.0,149.0,250.0
2021,2,14,16,Finland,Rock,218.0,83.0,37.0,19.0,6.0,301.0,5.0,150.0,84.0,234.0
2021,2,15,-,Latvia,Ballad,,,,,,,17.0,10.0,4.0,14.0
2021,2,16,11,Switzerland,Ballad,165.0,267.0,34.0,34.0,3.0,432.0,1.0,135.0,156.0,291.0
2021,2,17,-,Denmark,Pop,,,,,,,11.0,80.0,9.0,89.0
2021,-,-,23,Netherlands,Ballad,0.0,11.0,0.0,5.0,11.0,23.0,,,,
2021,-,-,13,Spain,Ballad,0.0,6.0,0.0,2.0,24.0,6.0,,,,
2021,-,-,9,United Kingdom,Pop,0.0,0.0,0.0,0.0,26.0,0.0,,,,
2021,-,-,15,Germany,Pop,0.0,3.0,0.0,2.0,25.0,3.0,,,,
2021,-,-,20,France,Ballad,251.0,248.0,38.0,33.0,2.0,499.0,,,,
2021,-,-,24,Italy,Rock,318.0,206.0,38.0,28.0,1.0,524.0,,,,
2019,1,1,11,Cyprus,Dance,32.0,77.0,4.0,15.0,13.0,109.0,9.0,54.0,95.0,149.0
2019,1,2,-,Montenegro,Pop,,,,,,,16.0,15.0,31.0,46.0
2019,1,3,-,Finland,Dance,,,,,,,17.0,14.0,9.0,23.0
2019,1,4,-,Poland,Traditional,,,,,,,11.0,60.0,60.0,120.0
2019,1,5,10,Slovenia,Ballad,59.0,46.0,13.0,9.0,15.0,105.0,6.0,93.0,74.0,167.0
2019,1,6,3,Czech Republic,Pop,7.0,150.0,4.0,26.0,11.0,157.0,2.0,85.0,157.0,242.0
2019,1,7,-,Hungary,Ballad,,,,,,,12.0,32.0,65.0,97.0
2019,1,8,19,Belarus,Dance,13.0,18.0,2.0,5.0,24.0,31.0,10.0,44.0,78.0,122.0
2019,1,9,23,Serbia,Ballad,54.0,35.0,7.0,8.0,18.0,89.0,7.0,65.0,91.0,156.0
2019,1,10,-,Belgium,Ballad,,,,,,,13.0,20.0,50.0,70.0
